,LINE,SKU,VENDOR PN,UPC/GTIN,DESCRIPTIONLINE ITEM COMMENTS,"MARKS AND
NUMBERS","UNIT COST/RETAIL
PRICE",QTY,UOM,ITEMTOTAL,PO Date:,Requested Delivery Date:,Requested Ship Date:,Cancel Date:,Delivery Window:,Shipping Window:,Vendor #:,Department #:,Freight Terms:,Preferred Carrier:,Terms Type,Terms Basis:,"Terms Disc
%:",Disc. Due Date:,Disc. Days:,Net Due Date:,Net Days:,Description:,TYPE,SERVICE TYPE,PERCENT,RATE,QTY,UOM,DESCRIPTION,AMOUNT,Total Qty:,Weight:,Volume:,Purchase Order Total:,280.80
,1,156421,"Vendors (Sellers) Item Number:
62296",653899622961,"Product: CK WATER ART DRAGON
Department Number: Toys-Toys-
Arts/Crafts",,Unit Price: 1.95,48.0,Each,93.60,08/02/2023,,08/03/2023,08/09/2023,,,3833,,,,,,,,,,,,,,,,,,,,,,,,
,2,156423,"Vendors (Sellers) Item Number:
62298",653899622985,"Product: CK WATER ART FARM
Department Number: Toys-Toys-
Arts/Crafts",,Unit Price: 1.95,48.0,Each,93.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,156424,"Vendors (Sellers) Item Number:
62299",653899622992,"Product: CK WATER ART SEA
CREATURES
Department Number: Toys-Toys-
Arts/Crafts",,Unit Price: 1.95,24.0,Each,46.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,156419,"Vendors (Sellers) Item Number:
62294",653899622947,"Product: CK WATER ART SPACE
Department Number: Toys-Toys-
Arts/Crafts",,Unit Price: 1.95,24.0,Each,46.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"# of Line
Items",Merchandise Total,nan,nan,nan,nan,144,,280.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
